Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
Palmeiras;1;990;1;1;16;3;4;0;562;9;12;12;27;4;340;440;773;47;310;21;21;10;0
Coritiba;1;990;0;0;17;9;2;0;594;14;15;8;31;6;405;491;825;39;404;22;17;9;1
Atlético Mineiro;1;990;0;0;15;5;2;0;662;9;7;12;27;4;489;569;859;41;460;22;21;9;1
Botafogo (RJ);1;990;1;1;8;3;1;0;641;14;6;13;15;1;433;525;825;39;386;12;26;14;0
Fortaleza;1;990;0;0;22;5;2;0;588;11;5;7;37;0;405;496;817;48;365;30;21;14;0
Avaí;1;990;0;0;13;2;3;0;699;16;14;14;25;2;488;596;819;43;418;12;8;6;1
São Paulo;1;990;0;0;18;8;1;0;644;17;6;6;34;8;485;559;868;46;485;11;13;8;1
Cuiabá;1;989;0;0;11;4;1;1;494;12;8;4;20;1;301;392;768;36;263;16;22;17;1
América (MG);1;990;0;0;16;3;2;0;596;8;8;6;30;0;381;508;75;62;307;25;15;11;0
Juventude;1;990;0;0;17;4;2;0;583;16;12;7;26;0;323;453;713;47;293;12;22;10;0
Atlético Goianiense;1;990;0;0;13;5;1;0;581;12;14;9;23;3;370;483;766;61;322;22;8;5;1
Bragantino;1;969;0;0;12;2;1;1;397;15;8;5;21;2;219;293;747;20;241;10;7;5;1
Fluminense;1;990;0;0;13;9;3;0;467;16;6;6;25;10;273;356;767;23;243;12;24;14;1
Palmeiras;1;990;0;0;14;6;1;0;555;22;12;11;25;8;359;439;818;31;287;15;19;9;1
Corinthians;1;990;0;0;13;3;1;0;723;18;14;8;21;4;524;620;845;52;331;21;17;8;1
Fluminense;1;920;0;0;15;4;3;1;571;8;16;13;23;0;369;462;799;36;317;28;25;18;0
Internacional;1;990;1;1;10;3;3;0;405;14;15;11;22;6;235;311;756;34;259;13;7;6;1
São Paulo;1;990;0;0;15;2;2;0;570;18;9;17;27;2;343;449;764;37;267;19;18;11;1
